Country,Company Name,Year,Sector,DealType,DealSubtype, Proceeds ($ millions) ,RealSector
Hungary,Pest Megyei Mlanyagipari Kft.,1994,Manufacturing & Services,,, 1.60 ,Manufacturing
Hungary,AGRAM Gépipari Kft.,1994,Manufacturing & Services,,, 1.60 ,Manufacturing
Hungary,"AGRO ""SZTCR"" Agrár Termelô és Szolgáltató Részvénytársaság",1994,Manufacturing & Services,,, 2.00 ,Agriculture
Hungary,Szentendrei Betonárugyár Rt.,1994,Manufacturing & Services,,, 1.68 ,Manufacturing
Hungary,KNER Nyomda Rt,1994,Manufacturing & Services,,, 1.69 ,Manufacturing
Hungary,Akvaline Rt.,1994,Manufacturing & Services,,, 1.74 ,Manufacturing
Hungary,Alkaloida Vegyészeti Gyár Rt.,1994,Manufacturing & Services,,, 1.78 ,Chemicals
Hungary,KAPOSPLAST Kefe- és Mlanyagipari Kft.,1994,Manufacturing & Services,,, 1.80 ,Manufacturing
Hungary,Dália Bútoripari Kft.,1994,Manufacturing & Services,,, 1.82 ,Manufacturing
Hungary,Békés Megyei Cltalános Építôipari és Vállalkozási Rt.,1994,Manufacturing & Services,,, 2.00 ,Construction
Hungary,Pécsváradi AGROVER Részvénytársaság,1994,Manufacturing & Services,,, 1.83 ,Manufacturing
Hungary,AGRO-SUMMA Mezôgazdasági Termelô és Szolgáltató Rt.,1994,Manufacturing & Services,,, 2.00 ,Agriculture
Hungary,Reneszánsz Kôfaragó Rt.,1994,Manufacturing & Services,,, 1.87 ,Construction
Hungary,"Felsôbabádi Termelô, Szolgáltató és Kereskedelmi Rt.",1994,Manufacturing & Services,,, 2.00 ,Agriculture
Hungary,VIZÉP Mélyépítô Kft.,1994,Manufacturing & Services,,, 1.88 ,Construction
Hungary,LAJTAPLASTIK Mlanyagfeldolgozó Kft.,1994,Manufacturing & Services,,, 1.90 ,Manufacturing
Hungary,"INICIA Mezôgazdasági Termelô,Szolgáltató és Kereskedelmi Rt.",1994,Manufacturing & Services,,, 2.00 ,Agriculture
Hungary,Csonka János Gépgyár Kft.,1994,Manufacturing & Services,,, 1.94 ,Manufacturing
Hungary,BRG Rádiótechnikai Rt.,1994,Manufacturing & Services,,, 1.94 ,Manufacturing
Hungary,FAUNA Részvénytársaság,1994,Manufacturing & Services,,, 2.10 ,Agriculture
Hungary,BIOGAL Gyógyszergyártó Rt.,1994,Manufacturing & Services,,, 2.15 ,Chemicals
Hungary,DANUVIA Gépipari Rt.,1994,Manufacturing & Services,,, 2.20 ,Manufacturing
Hungary,Budalakk Szivárvány Kft.,1994,Manufacturing & Services,,, 2.26 ,Manufacturing
Hungary,Hódmezôvásárhelyi Utépítô Kft. (HLDST),1994,Manufacturing & Services,,, 2.30 ,Construction
Hungary,Gyôri Sütôipari Rt.,1994,Manufacturing & Services,,, 2.33 ,Manufacturing
Hungary,Autófer Rt.,1994,Manufacturing & Services,,, 2.34 ,Manufacturing
